Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"MOUNT SINAI HOSPITAL",3,5,1,1,1,2,1,2
"NORTHERN DUTCHESS HOSPITAL",3,5,2,2,2,2,3,2
"NEW YORK-PRESBYTERIAN/QUEENS",2,5,2,3,1,1,1,2
"GENEVA GENERAL HOSPITAL",3,5,2,2,1,3,1,2
"AURELIA OSBORN FOX MEMORIAL HOSPITAL",2,7,2,1,2,2,2,1
"MARY IMOGENE BASSETT HOSPITAL",2,5,2,1,1,2,1,2
"GLEN COVE HOSPITAL",2,5,2,1,1,2,1,2
"LONG ISLAND JEWISH MEDICAL CENTER",2,5,1,1,1,1,1,3
"SOUTH NASSAU COMMUNITIES HOSPITAL",2,5,2,1,1,2,1,3
"WHITE PLAINS HOSPITAL CENTER",3,5,1,1,3,3,1,3
"UNIVERSITY HOSPITAL ( STONY BROOK )",2,3,1,1,2,2,1,2
"DUKE UNIVERSITY HOSPITAL",4,9,2,3,3,2,1,2
"NORTH CAROLINA BAPTIST HOSPITAL",3,5,2,1,2,2,2,3
"GRANVILLE HEALTH SYSTEMS",3,2,2,2,2,2,2,2
"MARIA PARHAM MEDICAL CENTER",2,9,3,3,1,2,1,3
"DAVIS REGIONAL MEDICAL CENTER",3,9,2,2,1,2,2,2
"NOVANT HEALTH MATTHEWS MEDICAL CENTER",4,7,2,3,1,2,2,3
"MIAMI VALLEY HOSPITAL",4,5,1,2,1,2,2,2
"ATRIUM MEDICAL CENTER",4,5,2,3,1,2,2,2
"LAKE HEALTH",4,5,1,3,2,2,1,3
"GRANDVIEW HOSPITAL & MEDICAL CENTER",4,7,2,3,3,2,2,2
"MERCY ST ANNE HOSPITAL",5,6,1,3,2,2,2,2
"MCALESTER REGIONAL HEALTH CENTER AUTHORITY",2,7,3,1,1,2,3,1
"STILLWATER MEDICAL CENTER AUTHORITY",4,7,2,2,3,2,3,2
"GRADY MEMORIAL HOSPITAL",3,1,2,2,2,2,3,2
"EVANGELICAL COMMUNITY HOSPITAL",3,7,2,2,3,2,1,2
"ALLEGHENY VALLEY HOSPITAL",3,7,2,2,1,2,3,1
"GOOD SAMARITAN HOSPITAL",2,7,3,1,3,2,1,1
"ROBERT PACKER HOSPITAL",2,7,2,1,2,2,2,2
"HOSPITAL OF UNIV OF PENNSYLVANIA",4,5,2,2,3,2,1,2
"POTTSTOWN MEMORIAL MEDICAL CENTER",1,9,3,3,1,2,2,2
"WARREN GENERAL HOSPITAL",3,5,2,1,1,2,2,2
"MERCY FITZGERALD HOSPITAL",2,5,2,1,1,2,1,2
"ACMH HOSPITAL",4,5,2,3,2,2,3,2
"BUTLER MEMORIAL HOSPITAL",4,5,2,3,2,2,3,2
"CROZER CHESTER MEDICAL CENTER",2,7,2,1,1,2,1,2
"MAIN LINE HOSPITAL LANKENAU",4,5,1,1,3,2,1,2
"EXCELA HEALTH LATROBE HOSPITAL",3,7,2,2,3,2,3,2
"ST MARY MEDICAL CENTER",4,6,2,3,3,2,1,2
"NEWPORT HOSPITAL",4,5,1,1,3,2,2,2
"BAPTIST EASLEY HOSPITAL",3,5,2,1,2,2,2,2
"ST FRANCIS-DOWNTOWN",4,5,3,3,3,3,2,3
"TIDELANDS WACCAMAW COMMUNITY HOSPITAL",4,5,2,2,3,3,3,1
"PALMETTO HEALTH BAPTIST PARKRIDGE",3,5,2,2,3,2,1,2
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER",3,1,2,3,3,2,2,2
"SAINT THOMAS WEST HOSPITAL",4,6,2,2,3,2,2,3
"GOOD SHEPHERD MEDICAL CENTER MARSHALL",3,5,1,2,2,2,2,2
"DETAR HEALTHCARE SYSTEM",3,9,2,2,2,2,2,2
"CHRISTUS SANTA ROSA HOSPITAL",4,6,2,2,2,2,1,3
"TEXOMA MEDICAL CENTER",2,9,2,1,3,2,3,1
"HUNT REGIONAL MEDICAL CENTER",3,1,2,2,2,2,2,1
"MEMORIAL MEDICAL CENTER LIVINGSTON",3,5,2,2,1,1,2,1
"VALLEY REGIONAL MEDICAL CENTER",3,9,1,3,1,2,2,1
"INTERMOUNTAIN MEDICAL CENTER",3,5,2,1,3,2,2,3
"CENTRAL VERMONT MEDICAL CENTER",4,5,2,3,2,2,1,2
"UNIVERSITY OF VIRGINIA MEDICAL CENTER",2,3,3,3,2,2,1,3
"LEWISGALE HOSPITAL ALLEGHANY",3,5,2,2,2,2,3,2
"DEACONESS HOSPITAL",2,5,2,1,1,2,1,2
"OVERLAKE HOSPITAL MEDICAL CENTER",3,7,2,3,2,3,2,2
"TACOMA GENERAL ALLENMORE HOSPITAL",2,5,2,1,1,3,1,3
"WEST VIRGINIA UNIVERSITY HOSPITALS",2,5,3,1,2,2,2,2
"GREENBRIER VALLEY MEDICAL CENTER",3,9,2,3,1,2,3,2
"MINISTRY SAINT JOSEPHS HOSPITAL",2,6,2,1,1,2,3,2
"COMMUNITY MEMORIAL HOSPITAL",3,5,3,2,3,2,3,2
"AURORA MEDICAL CENTER",4,5,2,1,3,2,3,2
"SAGEWEST HEALTH CARE",3,9,2,2,1,2,3,2
"ST MARKS MEDICAL CENTER",4,5,2,2,3,2,3,2
"UNIVERSITY OF MIAMI HOSPITAL",1,5,1,1,1,3,1,2
"SWEDISH MEDICAL CENTER",3,9,2,2,2,3,3,2
"CENTRAL FLORIDA REGIONAL HOSPITAL",2,9,2,3,1,2,2,2
"NEA BAPTIST MEMORIAL HOSPITAL",3,5,2,3,3,2,2,1
"ST JOHNS REGIONAL MEDICAL CENTER",2,5,2,1,1,2,1,2
"METHODIST HOSPITAL OF SOUTHERN CA",5,5,1,3,2,2,2,3
"RIVERSIDE COMMUNITY HOSPITAL",2,9,2,3,1,2,1,2
"JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS",4,7,2,3,2,2,2,2
"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS",3,1,3,1,2,2,2,2
"MEMORIAL HEALTH UNIV MED CEN, INC",2,7,2,1,1,2,1,1
"NATIONAL PARK MEDICAL CENTER",2,9,3,2,2,2,2,2
"MEDSTAR WASHINGTON HOSPITAL CENTER",2,7,1,1,1,1,1,3
"ARROWHEAD REGIONAL MEDICAL CENTER",2,2,2,1,1,2,1,2
"ANDALUSIA REGIONAL HOSPITAL",3,9,2,1,1,2,3,2
"SAN RAMON REGIONAL MEDICAL CTR",3,9,2,2,1,2,3,2
"WELLSTAR PAULDING HOSPITAL",3,7,2,2,3,2,1,2
"ST JOSEPH HOSPITAL",3,5,2,3,1,2,1,1
"SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL",4,3,1,3,2,2,1,2
"SACRED HEART HOSPITAL",3,5,3,2,2,2,1,2
"BANNER CASA GRANDE MEDICAL CENTER",2,7,2,1,1,2,2,1
"FEATHER RIVER HOSPITAL",3,6,2,2,1,2,1,1
"BANNER THUNDERBIRD MEDICAL CENTER",3,1,2,1,2,2,1,3
"ST ANTHONYS HOSPITAL",2,6,1,1,2,2,1,2
"NORTHSIDE HOSPITAL",2,9,2,3,1,2,2,2
"WUESTHOFF MEDICAL CENTER-ROCKLEDGE",2,5,2,3,1,2,2,1
"PETALUMA VALLEY HOSPITAL",3,7,2,2,2,2,1,2
"METHODIST HOSPITAL OF SACRAMENTO",2,7,2,1,1,2,1,3
"SAINT FRANCIS MEMORIAL HOSPITAL",3,5,2,3,1,2,2,2
"MERCY SAN JUAN MEDICAL CENTER",2,7,2,1,1,2,1,3
"NORTHSIDE HOSPITAL",4,5,2,1,3,2,2,2
"YUMA REGIONAL MEDICAL CENTER",2,5,2,3,1,2,1,1
"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS",4,5,2,2,2,2,2,2
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",3,1,2,2,1,2,3,2
"GOOD SAMARITAN MEDICAL CENTER",2,9,2,3,1,2,1,2
"HEMET VALLEY MEDICAL CENTER",1,3,2,3,1,2,1,1
"MOUNTAIN VISTA MEDICAL CENTER, LP",1,9,2,1,1,2,1,2
"CANYON VISTA MEDICAL CENTER",1,7,2,1,1,2,1,2
"TULARE REGIONAL MEDICAL CENTER",1,1,3,1,1,1,1,2
"FLORIDA HOSPITAL WESLEY CHAPEL",4,5,2,2,3,2,2,2
"NORTH SUBURBAN MEDICAL CENTER",3,5,2,2,2,2,3,2
"FLORIDA HOSPITAL",2,5,1,1,3,2,1,3
"LAKEWOOD RANCH MEDICAL CENTER",3,9,2,3,1,2,2,2
"RIDEOUT MEMORIAL HOSPITAL",1,5,3,1,1,2,1,3
"ALTA BATES SUMMIT MEDICAL CENTER",3,5,1,1,1,2,1,2
"UCSF MEDICAL CENTER",3,7,1,3,3,3,1,1
"SIERRA VISTA REGIONAL MEDICAL CENTER",3,9,2,3,2,2,2,2
"SAINT AGNES MEDICAL CENTER",2,6,3,2,1,2,1,3
"PROVIDENCE HOSPITAL",1,5,1,1,1,1,1,2
"MEDICAL CENTER OF TRINITY",3,9,2,3,1,2,2,2
"WALKER BAPTIST MEDICAL CENTER",3,5,2,3,1,2,3,2
"SUTTER SANTA ROSA REGIONAL HOSPITAL",3,7,2,2,2,2,1,2
"JOHNSON MEMORIAL HOSPITAL",3,5,2,2,2,2,1,2
"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER",3,6,1,2,2,2,2,1
"JACKSON MEMORIAL HOSPITAL",1,1,2,1,1,1,1,3
"WASHINGTON REGIONAL MEDICAL CENTER",3,5,3,3,2,2,2,2
"COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA",3,5,2,2,2,2,1,1
"PLANTATION GENERAL HOSPITAL",3,9,1,3,1,2,3,2
"MEMORIAL HOSPITAL WEST",3,1,2,1,3,2,1,2
"SHELBY BAPTIST MEDICAL CENTER",3,5,2,3,1,2,1,1
"COLORADO PLAINS MEDICAL CENTER",3,7,2,2,2,2,3,2
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER",3,3,2,2,3,2,1,1
"MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL",1,5,2,1,1,2,1,3
"MEASE COUNTRYSIDE HOSPITAL",4,5,2,3,3,2,1,1
"SHASTA REGIONAL MEDICAL CENTER",4,9,2,3,1,2,1,3
"WAYNE MEMORIAL HOSPITAL",3,1,2,2,3,2,3,1
"NORTH OKALOOSA MEDICAL CENTER",3,5,2,3,1,2,2,2
"WELLSTAR KENNESTONE HOSPITAL",3,7,2,1,1,2,1,2
"SANTA ROSA MEMORIAL HOSPITAL",4,5,3,3,1,2,1,3
"SIBLEY MEMORIAL HOSPITAL",3,7,2,1,1,2,1,3
"LONGMONT UNITED HOSPITAL",3,5,2,2,3,2,3,2
"MAT-SU REGIONAL MEDICAL CENTER",3,5,2,2,1,2,2,2
"LAKE CITY MEDICAL CENTER",3,5,1,2,2,2,2,3
"BANNER GATEWAY MEDICAL CENTER",3,7,2,2,3,2,2,3
"HALIFAX HEALTH MEDICAL CENTER",2,1,3,2,1,1,1,3
"FLOWERS HOSPITAL",4,9,3,3,3,2,3,2
"NORTHSIDE HOSPITAL FORSYTH",3,5,3,3,3,2,2,2
"VILLAGES REGIONAL HOSPITAL, THE",3,5,2,3,1,1,1,3
"SKY RIDGE MEDICAL CENTER",4,9,2,3,3,2,3,2
"MERCY HOSPITAL NORTHWEST ARKANSAS",4,6,2,3,2,3,2,2
"MERCY HOSPITAL",2,7,3,2,1,2,1,3
"SOUTH MIAMI HOSPITAL",3,5,2,2,2,2,1,2
"GRIFFIN HOSPITAL",2,7,3,2,3,2,1,2
"BOCA RATON REGIONAL HOSPITAL",2,5,2,1,2,2,3,3
"CAPE CANAVERAL HOSPITAL",4,5,2,3,3,2,3,2
"MOUNT SINAI MEDICAL CENTER",3,9,1,3,1,2,2,1
"PARKER ADVENTIST HOSPITAL",3,5,2,1,3,2,2,2
"UNIVERSITY OF ALABAMA HOSPITAL",3,3,2,3,3,2,1,1
"NATIVIDAD MEDICAL CENTER",3,1,2,2,1,2,1,2
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM",2,1,2,1,1,2,1,1
"BROWARD HEALTH IMPERIAL POINT",3,1,2,2,1,2,2,2
"EISENHOWER MEDICAL CENTER",4,9,1,3,1,2,1,1
"FAIRBANKS MEMORIAL HOSPITAL",3,7,2,1,3,2,2,2
"WELLSTAR WEST GEORGIA MEDICAL CENTER",4,1,2,2,2,2,2,1
"HOLY CROSS HOSPITAL",2,6,2,1,1,2,2,3
"COOSA VALLEY MEDICAL CENTER",3,7,2,1,2,2,2,2
"ORANGE COUNTY GLOBAL MEDICAL CENTER",1,9,3,1,1,2,2,2
"ST MARYS  MEDICAL CENTER",3,6,2,1,3,2,2,2
"BAYFRONT HEALTH PUNTA GORDA",2,9,2,1,1,2,1,2
"BANNER DEL E. WEBB MEDICAL CENTER",4,5,2,3,1,2,2,2
"LAKE WALES MEDICAL CENTER",2,9,2,3,1,2,1,2
"SOUTH LAKE HOSPITAL",2,1,2,1,1,2,1,2
"WHITE COUNTY MEDICAL CENTER",3,5,3,3,3,2,3,1
"ELIZA COFFEE MEMORIAL HOSPITAL",2,1,3,2,1,2,3,2
"POUDRE VALLEY HOSPITAL",4,5,2,3,3,2,3,2
"RIVERVIEW REGIONAL MEDICAL CENTER",3,9,2,3,1,2,2,2
"CENTURA HEALTH-ST ANTHONY HOSPITAL",4,6,2,1,2,3,3,2
"LOMPOC VALLEY MEDICAL CENTER",2,1,2,2,1,2,2,2
"ST JOSEPH'S HOSPITAL",3,7,3,3,1,2,1,2
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",3,9,2,3,1,2,2,2
"PROVIDENCE HOSPITAL",2,6,3,1,1,2,2,1
"TRI-CITY MEDICAL CENTER",2,1,3,2,1,2,1,2
"UKIAH VALLEY MEDICAL CENTER",3,6,2,1,1,2,2,2
"ALHAMBRA HOSPITAL MEDICAL CENTER",4,9,1,3,1,2,3,2
"SCRIPPS MERCY HOSPITAL",3,5,1,3,1,2,1,3
"REDLANDS COMMUNITY HOSPITAL",4,4,2,2,3,2,1,2
"ST FRANCIS HOSPITAL & MEDICAL CENTER",3,6,1,1,3,2,1,3
"VERDE VALLEY MEDICAL CENTER",4,5,2,2,3,2,2,3
"BAXTER REGIONAL MEDICAL CENTER",3,5,3,3,2,2,3,2
"BANNER DESERT MEDICAL CENTER",3,5,2,3,1,2,2,2
"LAKELAND REGIONAL MEDICAL CENTER",2,5,3,3,1,3,3,2
"ST VINCENT'S MEDICAL CENTER",2,6,2,1,1,2,1,1
"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES",2,6,2,2,1,1,1,2
"ARKANSAS METHODIST MEDICAL CENTER",2,5,3,2,2,2,2,1
"ST VINCENT'S MEDICAL CENTER SOUTHSIDE",3,5,1,2,1,2,2,2
"CLEVELAND CLINIC HOSPITAL",3,9,2,3,3,2,1,1
"CONWAY REGIONAL MEDICAL CENTER",3,5,3,3,2,2,3,2
"COLISEUM MEDICAL CENTERS",3,5,2,2,2,2,3,2
"SAN FRANCISCO GENERAL HOSPITAL",1,2,2,1,1,1,1,2
"NANTICOKE MEMORIAL HOSPITAL",4,5,2,3,3,2,2,2
"ST MARYS REGIONAL MEDICAL CENTER",3,9,2,3,1,2,2,2
"SHARP CHULA VISTA MEDICAL CENTER",4,9,1,3,3,2,1,3
"MAGNOLIA HOSPITAL",2,2,2,2,2,2,2,2
"SUTTER DELTA MEDICAL CENTER",2,5,2,1,1,2,1,2
"FAWCETT MEMORIAL HOSPITAL",3,9,2,3,1,2,1,2
"ST BERNARDINE MEDICAL CENTER",2,5,2,2,1,2,1,2
"LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA",3,9,2,3,2,1,1,2
"PRESBYTERIAN INTERCOMMUNITY HOSPITAL",3,5,1,1,3,1,1,1
"PLATTE VALLEY MEDICAL CENTER",3,5,2,2,3,2,2,2
"REGIONAL MEDICAL CENTER OF SAN JOSE",2,6,1,1,1,2,1,3
"SUTTER AMADOR HOSPITAL",2,5,2,1,2,2,2,2
"ST ROSE HOSPITAL",1,6,2,2,1,2,1,2
"EAST ALABAMA MEDICAL CENTER",4,1,2,3,3,2,3,2
"PIEDMONT HOSPITAL",3,5,1,1,2,2,1,2
"LODI MEMORIAL HOSPITAL",2,7,2,1,1,2,1,2
"JFK MEDICAL CENTER",2,9,2,1,1,2,2,3
"ORANGE COAST MEMORIAL MEDICAL CENTER",3,9,2,2,2,1,2,1
"HARTFORD HOSPITAL",2,5,1,1,1,2,1,2
"SALINAS VALLEY MEMORIAL HOSPITAL",4,7,2,3,2,2,2,3
"CENTRAL PENINSULA GENERAL HOSPITAL",3,7,2,2,2,2,1,2
"ST VINCENTS MEDICAL CENTER - CLAY COUNTY",3,5,2,2,2,2,1,2
"USC VERDUGO HILLS HOSPITAL",2,5,2,2,1,2,1,2
"MILFORD HOSPITAL, INC",3,5,2,2,3,2,1,2
"CAPITAL REGIONAL MEDICAL CENTER",2,9,2,2,1,2,2,3
"SACRED HEART HOSPITAL ON THE EMERALD COAST",4,7,2,3,3,2,2,2
"BAPTIST MEDICAL CENTER - NASSAU",3,2,2,2,3,2,1,2
"NORTHWEST MEDICAL CENTER",4,9,2,2,3,2,3,2
"ST LUCIE MEDICAL CENTER",2,9,3,3,1,2,3,2
"HONORHEALTH DEER VALLEY MEDICAL CENTER",3,5,2,3,1,2,2,2
"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER",4,9,1,2,3,2,3,3
"ENLOE MEDICAL CENTER",3,5,2,3,3,2,2,3
"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP",3,5,1,2,1,2,1,2
"PROVIDENCE TARZANA MEDICAL CENTER",2,5,1,1,1,2,2,2
"SAINT MARYS HOSPITAL",3,7,2,2,1,2,1,3
"EL CAMINO HOSPITAL",4,1,2,3,2,2,2,2
"CANDLER HOSPITAL",3,7,2,1,1,2,1,1
"ST MARY MEDICAL CENTER",3,6,2,2,1,2,1,2
"PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE",2,9,2,2,1,2,2,2
"STANFORD HEALTH CARE",4,5,2,2,3,2,1,2
"BROOKWOOD MEDICAL CENTER",3,9,2,2,1,2,2,2
"MAYO CLINIC",4,5,1,3,3,2,2,2
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER",4,9,1,3,1,2,1,2
"PUTNAM COMMUNITY MEDICAL CENTER",2,9,2,2,1,2,3,2
"PLACENTIA LINDA HOSPITAL",3,9,2,2,1,2,3,2
"CULLMAN REGIONAL MEDICAL CENTER",3,1,3,3,2,2,3,2
"MARIN GENERAL HOSPITAL",3,2,2,2,1,2,2,2
"GRADY MEMORIAL HOSPITAL",1,7,2,1,1,2,1,2
"FLORIDA HOSPITAL DELAND",3,6,2,3,2,2,2,2
"HUNTSVILLE HOSPITAL",3,1,3,3,2,2,1,1
"FORT WALTON BEACH MEDICAL CENTER",3,9,3,3,1,2,3,2
"SUTTER DAVIS HOSPITAL",4,9,2,2,3,2,2,2
"SONORA REGIONAL MEDICAL CENTER",3,6,3,1,2,2,1,2
"BANNER BOSWELL MEDICAL CENTER",4,7,2,3,2,2,2,3
"KINGMAN REGIONAL MEDICAL CENTER",2,1,1,2,2,2,2,1
"ST VINCENT'S BIRMINGHAM",3,5,2,1,3,1,1,2
"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER",2,9,1,2,1,2,1,2
"SANTA ROSA MEDICAL CENTER",3,9,2,2,1,2,3,2
"DOCTORS HOSPITAL",3,7,1,1,2,2,1,2
"LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE",2,9,2,3,1,2,2,2
"CALIFORNIA HOSPITAL MEDICAL CENTER LA",2,7,2,2,1,2,1,2
"GADSDEN REGIONAL MEDICAL CENTER",2,9,2,1,1,1,1,2
"MEMORIAL HOSPITAL PEMBROKE",4,1,2,2,3,2,2,2
"STRINGFELLOW MEMORIAL HOSPITAL",3,9,2,2,1,2,3,2
"ST ELIZABETH COMMUNITY HOSPITAL",3,6,3,3,2,2,2,2
"BAYFRONT HEALTH BROOKSVILLE",2,6,2,2,1,2,2,2
"BETHESDA HOSPITAL EAST",3,5,2,3,1,2,2,3
"TROY REGIONAL MEDICAL CENTER",3,4,2,2,2,2,3,2
"RUSSELL HOSPITAL",3,5,2,1,3,2,2,2
"HAMILTON MEDICAL CENTER",4,5,2,3,2,2,1,2
"HUNTINGTON MEMORIAL HOSPITAL",4,7,1,1,2,1,1,2
"ORO VALLEY HOSPITAL",3,9,2,1,2,2,1,2
"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS",2,6,2,1,1,2,1,2
"D C H REGIONAL MEDICAL CENTER",2,1,3,2,2,2,1,3
"JEFFERSON REGIONAL MEDICAL CENTER",2,5,3,3,1,2,2,1
"SCOTTSDALE OSBORN MEDICAL CENTER",3,9,2,1,1,2,3,3
"SUTTER LAKESIDE HOSPITAL",3,5,2,2,2,2,1,2
"NORTHBAY MEDICAL CENTER",2,7,2,1,2,2,1,3
"LAKEWOOD REGIONAL MEDICAL CENTER",3,9,2,3,1,2,1,2
"DELRAY MEDICAL CENTER",2,9,2,3,1,2,1,3
"PRATTVILLE BAPTIST HOSPITAL",4,1,2,2,3,2,1,2
